,id,domain,object_a,object_b,sentence,it_1_confidence,it_2_confidence,better_count,worse_count,none_count,most_frequent_label,most_frequent_count,it_1_judgments,it_2_judgments,sentence_html,judgments,confidence,most_frequent_percentage
763,F734924216,jbt,football,baseball,football and Basketball are far easier to project than baseball .,1.0,1.0,5,0,0,BETTER,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span> and Basketball are far easier to project than <span style=""color: #6CB219; font-weight: bold"">baseball:[OBJECT_B]</span> .",5,1.0,1.0
1101,O2326871995,compsci,Windows 8,Windows 7,"Sure, Windows 8 maybe slightly faster than Windows 7 but is faster than Windows XP?",1.0,1.0,5,0,0,BETTER,5,3,2,"Sure, <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> maybe slightly faster than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span> but is faster than Windows XP?",5,1.0,1.0
996,H1228302100,compsci,PHP,Java,"In a case study posted to his blog, Toomas Romer wonders if a PHP script is embarrassingly slower than than its Java counterpart.",1.0,1.0,0,5,0,WORSE,5,3,2,"In a case study posted to his blog, Toomas Romer wonders if a <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> script is embarrassingly slower than than its <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> counterpart.",5,1.0,1.0
520,F866540131,jbt,georgia,virginia,He broke his hand against georgia Tech and apparently made it worse playing against virginia Tech.,0.3395,1.0,1,1,3,NONE,3,3,2,"He broke his hand against <span style=""color: #9A14B2; font-weight: bold"">georgia:[OBJECT_A]</span> Tech and apparently made it worse playing against <span style=""color: #6CB219; font-weight: bold"">virginia:[OBJECT_B]</span> Tech.",5,0.6037,0.6
782,D548250447,jbt,harvard,cornell,"Danielle Kerr finished second (2:04.51) in the 200-yard butterfly to a harvard competitor, but finished five seconds faster than any cornell swimmer.",0.6873,0.5,3,0,2,BETTER,3,3,2,"Danielle Kerr finished second (2:04.51) in the 200-yard butterfly to a <span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> competitor, but finished five seconds faster than any <span style=""color: #6CB219; font-weight: bold"">cornell:[OBJECT_B]</span> swimmer.",5,0.61238,0.6
1480,S3008428816,brands,Nissan,Ford,"Volkswagen improves slightly slower than the market at +28% to 10% share in May, followed by Peugeot (+52%), Mercedes (+29%), BMW (+14%), Nissan up a gargantuan 79% and Ford up an equally impressive 78%.",1.0,0.5185,4,0,1,BETTER,4,3,2,"Volkswagen improves slightly slower than the market at +28% to 10% share in May, followed by Peugeot (+52%), Mercedes (+29%), BMW (+14%), <span style=""color: #9A14B2; font-weight: bold"">Nissan:[OBJECT_A]</span> up a gargantuan 79% and <span style=""color: #6CB219; font-weight: bold"">Ford:[OBJECT_B]</span> up an equally impressive 78%.",5,0.8074,0.8
1894,M1979712244,jbt,pennsylvania,virginia,"pennsylvania, virginia, Ohio, Florida?",1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">pennsylvania:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">virginia:[OBJECT_B]</span>, Ohio, Florida?",5,1.0,1.0
309,E563969941,brands,Dell,Microsoft,"Dell chose to base vWorkspace on Microsoft Hyper-V rather than on a VMware hypervisor because Hyper-V allowed for a better virtual machine density, the vendor said.",0.6940000000000001,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Dell:[OBJECT_A]</span> chose to base vWorkspace on <span style=""color: #6CB219; font-weight: bold"">Microsoft:[OBJECT_B]</span> Hyper-V rather than on a VMware hypervisor because Hyper-V allowed for a better virtual machine density, the vendor said.",5,0.8164,1.0
1741,A160099612,jbt,wii,playstation,"After all, who would play the 'wii' when there were much cooler names like playstation 3 and Xbox 360?",0.6724,1.0,0,4,1,WORSE,4,3,2,"After all, who would play the '<span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span>' when there were much cooler names like <span style=""color: #6CB219; font-weight: bold"">playstation:[OBJECT_B]</span> 3 and Xbox 360?",5,0.8034399999999999,0.8
1298,G1064613572,jbt,potato,bread,Ie. the sweet potato worked better for you than the rye bread.,1.0,1.0,5,0,0,BETTER,5,3,2,"Ie. the sweet <span style=""color: #9A14B2; font-weight: bold"">potato:[OBJECT_A]</span> worked better for you than the rye <span style=""color: #6CB219; font-weight: bold"">bread:[OBJECT_B]</span>.",5,1.0,1.0
828,I1389206220,compsci,Ruby,PHP,I think Ruby is better than PHP because it is so much cleaner.,1.0,1.0,5,0,0,BETTER,5,3,2,"I think <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> is better than <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> because it is so much cleaner.",5,1.0,1.0
1323,M1988321542,compsci,MySQL,Oracle,"Perl, MySQL, php, Oracle).",1.0,1.0,0,0,5,NONE,5,3,2,"Perl, <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span>, php, <span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span>).",5,1.0,1.0
2331,H1144545372,compsci,JavaScript,PHP,"I have a strong grasp of HTML, CSS and a decent one on JavaScript, PHP, and MySQL.",1.0,1.0,0,0,5,NONE,5,3,2,"I have a strong grasp of HTML, CSS and a decent one on <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>, and MySQL.",5,1.0,1.0
5,T3161167094,jbt,missouri,georgia,"While missouri has solid football programs, they do not compare to states like Florida, georgia and Texas.",1.0,0.5039,1,3,1,WORSE,3,3,2,"While <span style=""color: #9A14B2; font-weight: bold"">missouri:[OBJECT_A]</span> has solid football programs, they do not compare to states like Florida, <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span> and Texas.",5,0.80156,0.6
1626,E564128791,jbt,pizza,sausage,De Lorenzo's clam pizza may be better than its sausage.,1.0,1.0,5,0,0,BETTER,5,3,2,"De Lorenzo's clam <span style=""color: #9A14B2; font-weight: bold"">pizza:[OBJECT_A]</span> may be better than its <span style=""color: #6CB219; font-weight: bold"">sausage:[OBJECT_B]</span>.",5,1.0,1.0
2392,B265369865,brands,Nikon,Sigma,"And I work with files from the Nikon 35/1.4G and I know, optically, it's not better than the Sigma.",0.6707,1.0,0,4,1,WORSE,4,3,2,"And I work with files from the <span style=""color: #9A14B2; font-weight: bold"">Nikon:[OBJECT_A]</span> 35/1.4G and I know, optically, it's not better than the <span style=""color: #6CB219; font-weight: bold"">Sigma:[OBJECT_B]</span>.",5,0.8024199999999999,0.8
551,E564068787,brands,Dell,Microsoft,Dell® XPS 13 Ultrabook™ ·         2nd Generation Intel® Core™ i5 processor ·         Microsoft® Windows 8 ·         Intel® Identity Protection Technology ·         128GB Solid State Drive,1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Dell:[OBJECT_A]</span>® XPS 13 Ultrabook™ ·         2nd Generation Intel® Core™ i5 processor ·         <span style=""color: #6CB219; font-weight: bold"">Microsoft:[OBJECT_B]</span>® Windows 8 ·         Intel® Identity Protection Technology ·         128GB Solid State Drive",5,1.0,1.0
1725,T3175537726,jbt,rat,mouse,"Why is it that people don't want to admit to a ""rat"", the name ""mouse"" must be a nicer label?",0.65,1.0,0,1,4,NONE,4,3,2,"Why is it that people don't want to admit to a ""<span style=""color: #9A14B2; font-weight: bold"">rat:[OBJECT_A]</span>"", the name ""<span style=""color: #6CB219; font-weight: bold"">mouse:[OBJECT_B]</span>"" must be a nicer label?",5,0.79,0.8
1996,R2852542984,jbt,google,amazon,"This makes the uploading process much faster, he claims, than google or amazon.",1.0,1.0,0,0,5,NONE,5,3,2,"This makes the uploading process much faster, he claims, than <span style=""color: #9A14B2; font-weight: bold"">google:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">amazon:[OBJECT_B]</span>.",5,1.0,1.0
